Time    	RPM Setpoints 	Measured RPM 	Measured km/h 	TorqueEst. 	I           	I_q         	I_d         	Power   	Torque_SP	Measured RPM 	TorqueEst.\s	I           	I_q         	I_d         	Power   	Torque_Ref	Energy_Speed	Energy_Torque
0.000000	93.790150	93.812935	13.792990	4.473228	0.165675	1.076888	-0.248513	0.043892	59.614561	93.870155	-0.000019	0.082838	0.000000	0.000000	0.000000	59.379548	4.101062	0.000006
0.000000	93.790150	93.841545	13.797197	3.876798	0.165675	1.325401	-0.248513	0.046846	59.614561	93.727104	-0.000019	0.082838	-0.000019	-0.082838	0.000000	59.379548	4.147908	0.000006
0.000000	93.790150	93.727104	13.780371	4.473228	0.165675	1.076888	-0.165675	0.038063	59.614561	93.812935	-0.000019	0.082838	-0.000019	-0.082838	0.000000	59.379548	4.185971	0.000006
0.000000	93.790150	93.727104	13.780371	4.473228	0.165675	1.242563	-0.248513	0.041016	59.614561	93.870155	-0.000019	0.082838	-0.000019	-0.082838	0.000000	59.379548	4.226986	0.000006
0.000000	93.790150	93.755714	13.784577	4.473228	0.165675	1.159726	-0.248513	0.041028	59.614561	93.698494	-0.000019	0.082838	-0.000019	-0.082838	0.000000	59.379548	4.268014	0.000006
0.000000	93.790150	93.812935	13.792990	3.578583	0.165675	1.076888	-0.248513	0.049759	134.047109	93.870155	-0.000019	0.082838	0.000000	0.000000	0.000000	133.984619	4.317773	0.000007
0.000000	93.790150	93.727104	13.780371	5.069659	0.165675	1.076888	-0.165675	0.029270	134.047109	93.755714	-0.000019	0.082838	-0.000019	-0.082838	0.000000	133.984619	4.347044	0.000007
0.000000	93.790150	93.812935	13.792990	3.876798	0.165675	1.325401	-0.165675	0.041066	134.047109	93.870155	-0.000019	0.082838	0.000000	0.000000	0.000000	133.984619	4.388109	0.000007
0.000000	93.790150	93.812935	13.792990	3.876798	0.165675	1.076888	-0.165675	0.043892	-7.280514	93.727104	-0.000037	0.082838	0.000000	-0.082838	0.000000	-7.003741	4.432001	0.000007
0.000000	93.790150	93.755714	13.784577	4.175014	0.165675	1.076888	-0.248513	0.043905	-0.214133	93.870155	-0.000037	0.082838	-0.000019	-0.082838	0.000000	0.000000	4.475906	0.000007
0.000000	93.790150	93.784325	13.788784	3.578583	0.165675	1.242563	-0.248513	0.043959	-0.214133	93.784325	-0.000019	0.082838	-0.000019	-0.082838	0.000000	0.000000	4.519865	0.000007
0.000000	93.790150	93.784325	13.788784	3.876798	0.165675	1.159726	-0.248513	0.041028	-0.214133	93.698494	-0.000019	0.082838	-0.000019	-0.082838	0.000000	0.000000	4.560893	0.000008
0.000000	93.790150	93.784325	13.788784	4.473228	0.165675	1.242563	-0.165675	0.041041	-0.214133	93.841545	0.000000	0.082838	-0.000019	-0.082838	0.000000	0.000000	4.601933	0.000008
