267	40.8 	432.9	13.60
268	42.9 	455.2	14.30
269	44.4 	471.1	14.80
270	45.9 	487.0	15.30
271	46.0 	488.1	15.33
272	45.6 	483.8	15.20
273	45.3 	480.6	15.10
274	43.7 	463.7	14.57
275	40.8 	432.9	13.60
276	38.0 	403.2	12.67
277	34.4 	365.0	11.47
278	30.9 	327.9	10.30
279	25.5 	270.6	8.50
280	21.4 	227.1	7.13
281	20.2 	214.3	6.73
282	22.9 	243.0	7.63
283	26.6 	282.2	8.87
284	30.2 	320.4	10.07
285	34.1 	361.8	11.37
286	37.4 	396.8	12.47
287	40.7 	431.8	13.57
288	44.0 	466.9	14.67
289	47.3 	501.9	15.77
290	49.2 	522.0	16.40
291	49.8 	528.4	16.60
292	49.2 	522.0	16.40
293	48.1 	510.4	16.03
294	47.3 	501.9	15.77
295	46.8 	496.6	15.60
296	46.7 	495.5	15.57
297	46.8 	496.6	15.60
298	47.1 	499.7	15.70
299	47.3 	501.9	15.77
300	47.3 	501.9	15.77
301	47.1 	499.7	15.70
302	46.6 	494.4	15.53
303	45.8 	486.0	15.27
304	44.8 	475.3	14.93
305	43.3 	459.4	14.43
306	41.8 	443.5	13.93
307	40.8 	432.9	13.60
308	40.3 	427.6	13.43
309	40.1 	425.5	13.37
310	39.7 	421.2	13.23
311	39.2 	415.9	13.07
312	38.5 	408.5	12.83
313	37.4 	396.8	12.47
314	36.0 	382.0	12.00
315	34.4 	365.0	11.47
316	33.0 	350.1	11.00
317	31.7 	336.3	10.57
318	30.0 	318.3	10.00
319	28.0 	297.1	9.33
320	26.1 	276.9	8.70
321	25.6 	271.6	8.53
322	24.9 	264.2	8.30
323	24.9 	264.2	8.30
324	24.3 	257.8	8.10
325	23.9 	253.6	7.97
326	23.9 	253.6	7.97
327	23.6 	250.4	7.87
328	23.3 	247.2	7.77
329	20.5 	217.5	6.83
330	17.5 	185.7	5.83
331	16.9 	179.3	5.63
332	16.7 	177.2	5.57
333	15.9 	168.7	5.30
334	15.6 	165.5	5.20
335	15.0 	159.2	5.00
336	14.5 	153.8	4.83
337	14.3 	151.7	4.77
338	14.5 	153.8	4.83
339	15.4 	163.4	5.13
340	17.8 	188.9	5.93
341	21.1 	223.9	7.03
342	24.1 	255.7	8.03
343	25.0 	265.3	8.33
344	25.3 	268.4	8.43
345	25.5 	270.6	8.50
346	26.4 	280.1	8.80
347	26.6 	282.2	8.87
348	27.1 	287.5	9.03
349	27.7 	293.9	9.23
350	28.1 	298.2	9.37
351	28.2 	299.2	9.40
352	28.1 	298.2	9.37
353	28.0 	297.1	9.33
354	27.9 	296.0	9.30
355	27.9 	296.0	9.30
356	28.1 	298.2	9.37
357	28.2 	299.2	9.40
358	28.0 	297.1	9.33
359	26.9 	285.4	8.97
360	25.0 	265.3	8.33
361	23.2 	246.2	7.73
362	21.9 	232.4	7.30
363	21.1 	223.9	7.03
364	20.7 	219.6	6.90
365	20.7 	219.6	6.90
366	20.8 	220.7	6.93
367	21.2 	224.9	7.07
368	22.1 	234.5	7.37
369	23.5 	249.3	7.83
370	24.3 	257.8	8.10
371	24.5 	260.0	8.17
372	23.8 	252.5	7.93
373	21.3 	226.0	7.10
374	17.7 	187.8	5.90
375	14.4 	152.8	4.80
376	11.9 	126.3	3.97
377	10.2 	108.2	3.40
378	8.9 	94.4	2.97
379	8.0 	84.9	2.67
380	7.2 	76.4	2.40
381	6.1 	64.7	2.03
382	4.9 	52.0	1.63
383	3.7 	39.3	1.23
384	2.3 	24.4	0.77
385	0.9 	9.5	0.30
386	0.0 	0.0	0.00
387	0.0 	0.0	0.00
388	0.0 	0.0	0.00
389	0.0 	0.0	0.00
390	0.0 	0.0	0.00
391	0.0 	0.0	0.00
392	0.5 	5.3	0.17
393	2.1 	22.3	0.70
394	4.8 	50.9	1.60
395	8.3 	88.1	2.77
396	12.3 	130.5	4.10
397	16.6 	176.1	5.53
398	20.9 	221.8	6.97
399	24.2 	256.8	8.07
400	25.6 	271.6	8.53
401	25.6 	271.6	8.53
402	24.9 	264.2	8.30
403	23.3 	247.2	7.77
404	21.6 	229.2	7.20
405	20.2 	214.3	6.73
406	18.7 	198.4	6.23
407	17.0 	180.4	5.67
408	15.3 	162.3	5.10
409	14.2 	150.7	4.73
410	13.9 	147.5	4.63
411	14.0 	148.5	4.67
412	14.2 	150.7	4.73
413	14.5 	153.8	4.83
414	14.9 	158.1	4.97
415	15.9 	168.7	5.30
416	17.4 	184.6	5.80
417	18.7 	198.4	6.23
418	19.1 	202.7	6.37
419	18.8 	199.5	6.27
420	17.6 	186.7	5.87
421	16.6 	176.1	5.53
422	16.2 	171.9	5.40
423	16.4 	174.0	5.47
424	17.2 	182.5	5.73
425	19.1 	202.7	6.37
426	22.6 	239.8	7.53
427	27.4 	290.7	9.13
428	31.6 	335.3	10.53
429	33.4 	354.4	11.13
430	33.5 	355.4	11.17
431	32.8 	348.0	10.93
432	31.9 	338.5	10.63
433	31.3 	332.1	10.43
434	31.1 	330.0	10.37
435	30.6 	324.7	10.20
436	29.2 	309.8	9.73
437	26.7 	283.3	8.90
438	23.0 	244.0	7.67
439	18.2 	193.1	6.07
440	12.9 	136.9	4.30
441	7.7 	81.7	2.57
442	3.8 	40.3	1.27
443	1.3 	13.8	0.43
444	0.2 	2.1	0.07
445	0.0 	0.0	0.00
446	0.0 	0.0	0.00
447	0.0 	0.0	0.00
448	0.0 	0.0	0.00
449	0.0 	0.0	0.00
450	0.0 	0.0	0.00
451	0.0 	0.0	0.00
452	0.0 	0.0	0.00
